"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000224373",4.32119576143307,4.87793435158724,14.4732197992348,2.06909207959719e-13,6.75393036622116e-09,20.7222697794115
"ENSG00000211956",4.49721992579728,5.89043373118825,12.7452300073121,3.17711669972331e-12,5.18537216561841e-08,18.0791231451467
"ENSG00000167900",3.09690233594179,4.17396530233902,11.7248001829871,1.82388415850687e-11,1.9188125103083e-07,16.3488587659735
"ENSG00000148773",2.89581362581364,4.47798349491142,11.5815734990794,2.35134184217671e-11,1.9188125103083e-07,16.1051035536815
"ENSG00000211896",5.90239314646389,9.41933358938437,10.8668300658671,8.64124064157284e-11,5.41630540642761e-07,14.5531619908535
"ENSG00000211962",3.82533726645884,4.77764394600057,10.7277930420575,1.12064729265767e-10,5.41630540642761e-07,14.5627744028243
"ENSG00000166851",3.79108073347648,2.49207311973519,10.6626001354195,1.26689494863554e-10,5.41630540642761e-07,14.3312764326493
"ENSG00000089685",3.6750566752808,2.92031057726616,10.6174065767559,1.37974014409997e-10,5.41630540642761e-07,14.305736530681
"ENSG00000101057",3.71196356679286,4.93983841485916,10.575601333734,1.49337505844766e-10,5.41630540642761e-07,14.2727189295406
"ENSG00000088325",2.87188863125103,3.2433923780959,10.5099439429879,1.69173677902005e-10,5.52216719407724e-07,14.1475723314829
"ENSG00000111206",2.89700931506516,1.86688434828452,10.3465776579596,2.31243909140792e-10,6.23947422411534e-07,13.7082652090738
"ENSG00000145386",3.56809306240467,2.60081071519366,10.311919089456,2.47198754110934e-10,6.23947422411534e-07,13.7205510639
"ENSG00000127564",3.17287463136762,2.20485220100046,10.3092091066438,2.48493244634212e-10,6.23947422411534e-07,13.6811981710362
"ENSG00000259490",4.22041446685656,-2.08246636386842,10.2332112256286,2.87795150527263e-10,6.71014950250779e-07,12.4475459908074
"ENSG00000117399",3.59469150325778,2.8759396252968,10.1471836260973,3.40122879168702e-10,7.01094257806523e-07,13.439437692136
"ENSG00000211598",3.67515396836432,6.75382064770161,10.1413035809283,3.44040178347969e-10,7.01094257806523e-07,13.3274738830632
"ENSG00000170476",3.79379986622338,5.73562330616148,10.1107880509902,3.65130886058173e-10,7.01094257806523e-07,13.3418487640629
"ENSG00000171848",3.64203475252193,4.78594692255593,10.0715795430782,3.9420452913191e-10,7.14868013329101e-07,13.3130838551953
"ENSG00000123485",3.08283817240479,1.71428942408793,9.99764234429413,4.55710867797985e-10,7.82911270876939e-07,13.0416070031165
"ENSG00000175063",3.42290347393651,2.2114092427692,9.9525748707459,4.9798275193347e-10,7.9568352923164e-07,13.0161859106728
"ENSG00000184661",3.56566128253796,1.17506626600948,9.93859962470028,5.1189737497287e-10,7.9568352923164e-07,12.799644592713
"ENSG00000167513",2.73577698963709,2.07779065587442,9.86218217309062,5.95407259790949e-10,8.83421989731643e-07,12.8522165660196
"ENSG00000211592",3.42838647871783,10.3684270112632,9.79263197404338,6.83631481294956e-10,9.70221687496954e-07,12.2774890885257
"ENSG00000211966",3.75995369223726,4.88449199724716,9.7418425890514,7.56500477373131e-10,1.02890369093391e-06,12.6616431460718
